order_id,b66c6b8d-4293-4379-9a12-4dfffbaa5d0b
type,open
price,6182.01000000
side,buy
time,2018-10-14T12:44:45.115000Z
remaining_size,0.00454549
order_id,44d0cfe0-e292-4f58-8f5d-1670cbc938af
type,done
price,6222.05000000
side,buy
time,2018-10-14T12:44:45.341000Z
remaining_size,0.02500000
order_id,dcc20364-4b21-42a9-b554-899ab957e7bf
type,received
price,6222.06000000
side,buy
time,2018-10-14T12:44:45.351000Z
size,0.02500000
order_id,dcc20364-4b21-42a9-b554-899ab957e7bf
type,open
price,6222.06000000
side,buy
time,2018-10-14T12:44:45.351000Z
remaining_size,0.02500000
order_id,b66c6b8d-4293-4379-9a12-4dfffbaa5d0b
type,done
price,6182.01000000
side,buy
time,2018-10-14T12:44:45.439000Z
remaining_size,0.00454549
order_id,9c9bdd4e-d838-48e3-b4a7-588b6fd45589
type,received
price,6182.00000000
side,buy
time,2018-10-14T12:44:45.485000Z
size,0.00454549
order_id,9c9bdd4e-d838-48e3-b4a7-588b6fd45589
type,open
price,6182.00000000
side,buy
time,2018-10-14T12:44:45.485000Z
remaining_size,0.00454549
order_id,dcc20364-4b21-42a9-b554-899ab957e7bf
type,done
price,6222.06000000
side,buy
time,2018-10-14T12:44:45.528000Z
remaining_size,0.02500000
order_id,bfcbce53-836a-4487-ab59-75d32e80e939
type,received
price,6222.03000000
side,buy
time,2018-10-14T12:44:45.534000Z
size,0.02500000
order_id,bfcbce53-836a-4487-ab59-75d32e80e939
type,open
price,6222.03000000
side,buy
time,2018-10-14T12:44:45.534000Z
remaining_size,0.02500000
order_id,bfcbce53-836a-4487-ab59-75d32e80e939
type,done
price,6222.03000000
side,buy
time,2018-10-14T12:44:45.621000Z
remaining_size,0.02500000
order_id,4bb9cdb9-3336-4734-9656-b6e1f532fb9d
type,received
price,6222.04000000
side,buy
time,2018-10-14T12:44:45.628000Z
size,0.02500000
order_id,4bb9cdb9-3336-4734-9656-b6e1f532fb9d
type,open
price,6222.04000000
side,buy
time,2018-10-14T12:44:45.628000Z
remaining_size,0.02500000
order_id,4bb9cdb9-3336-4734-9656-b6e1f532fb9d
type,done
price,6222.04000000
side,buy
time,2018-10-14T12:44:45.715000Z
remaining_size,0.02500000
order_id,2e3d0dcd-33f6-4e91-9864-17d1ef3103dd
type,received
price,6222.05000000
side,buy
time,2018-10-14T12:44:45.722000Z
size,0.02500000
order_id,2e3d0dcd-33f6-4e91-9864-17d1ef3103dd
type,open
price,6222.05000000
side,buy
time,2018-10-14T12:44:45.722000Z
remaining_size,0.02500000
order_id,a270f690-9443-417d-9f81-e8736526efbe
type,received
price,6232.42000000
side,sell
time,2018-10-14T12:44:45.735000Z
size,0.00100000
order_id,a270f690-9443-417d-9f81-e8736526efbe
type,done
price,6232.42000000
side,sell
time,2018-10-14T12:44:45.735000Z
remaining_size,0.00100000
order_id,2e3d0dcd-33f6-4e91-9864-17d1ef3103dd
type,done
price,6222.05000000
side,buy
